Product ID,Name,Price,Description,Stock,Category ID
1,UGen Ultra Professional Cordless Optical Suite,4291.55,Durable Backpack ideal for daily use.,936,1
2,Bagged Rubber Bands,46.91,Wireless Headphones with noise cancellation.,875,1
3,TechSavi Cordless Navigator Duo,82.58,Compact Desk Lamp with sleek design.,524,1
4,Artisan Printable Repositionable Plastic Tabs,730.92,Eco-friendly Water Bottle made from recycled materials.,954,1
5,Pizazz Drawing Pencil Set,125.97,Lightweight Laptop with fast charging.,571,1
6,"Alto Parchment Paper, Assorted Colors",189.43,Premium Mouse with ergonomic design.,992,1
7,Smiths Metal Binder Clips,60.45,Stylish T-shirt for all-day comfort.,767,1
8,Artisan Hole Reinforcements,189.45,Portable Keyboard with USB-C support.,656,1
9,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",121.03,Smart Shoes for outdoor activities.,879,1
10,TypeRight Side-Opening Peel & Seel Expanding Envelopes,1740.57,Ergonomic Phone with long battery life.,585,1
11,Artisan 487 Labels,199.4,Durable Laptop made from recycled materials.,789,1
12,Cando CCalored Accent Highlighters,694.05,Wireless Mouse with RGB lighting.,829,1
13,Cando S750 Color Inkjet Printer,694.05,Compact Backpack for outdoor adventures.,908,1
14,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",35.33,Eco-friendly T-shirt ideal for daily wear.,695,1
15,TechSavi Access Keyboard,139.46,Lightweight Phone with sleek design.,792,2
16,Artisan 479 Labels,23.46,Premium Desk Lamp with adjustable brightness.,776,1
17,Smiths Pushpins,26.46,Stylish Shoes for casual use.,551,1
18,12 Colored Short Pencils,112.38,Portable Water Bottle with easy-grip handle.,993,3
19,1726 Digital Answering Machine,112.38,Smart Headphones with touch controls.,873,1
20,"Angle-D Binders with Locking Rings, Label Holders",274.97,Ergonomic Laptop with cooling system.,646,1
21,3Max Organizer Strips,143.72,Durable Keyboard with silent keys.,510,1
22,Multimedia Mailers,4764.51,Wireless Shoes for everyday movement.,935,1
23,Smiths SlimLine Pencil Sharpener,233.95,Compact T-shirt with moisture-wicking fabric.,953,1
24,"DrawIt Colored Pencils, 48-Color Set",79.44,Eco-friendly Backpack made from sustainable materials.,516,1
25,Artisan Binder Labels,69.36,Lightweight Headphones for travel.,748,2
26,Pizazz Dustless Chalk Sticks,54.22,Premium Water Bottle with leak-proof lid.,826,1
27,TechSavi Cordless Elite Duo,4371.54,Stylish Desk Lamp with dimming modes.,808,1
28,Smiths General Use 3-Ring Binders,35.33,Portable Mouse for on-the-go use.,512,2
29,Binder Clips by OIC,24.29,Smart T-shirt with sweat-resistant material.,519,2
30,Apex Straight Scissors,523.02,Ergonomic Shoes for support and comfort.,587,2
31,Emerson Stylus 1520 Color Inkjet Printer,744.63,Durable Phone with scratch-resistant body.,955,1
32,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",693.16,Wireless Laptop with high-speed Wi-Fi.,609,1
33,Artisan Hi-Liter Smear-Safe Highlighters,34.43,Compact Keyboard with backlit keys.,637,2
34,Artisan 474 Labels,26.46,Eco-friendly Desk Lamp with low energy usage.,747,3
35,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",690.33,Lightweight Backpack for students.,789,1
36,Ames Color-File Green Diamond Border X-ray Mailers,2692.15,Premium Headphones with crisp sound.,798,2
37,Alto Memo Cubes,80.44,Stylish Water Bottle with a flip cap.,967,1
38,HFX LaserJet 3310 Copier,2761.25,Portable T-shirt for gym wear.,990,2
39,OIC Thumb-Tacks,54.28,Smart Mouse with programmable buttons.,842,1
40,Apex Elite Stainless Steel Scissors,132.08,Ergonomic Laptop with full HD display.,760,3
41,Apex Preferred Stainless Steel Scissors,132.08,Durable Shoes for running.,642,1
42,Smiths Standard Envelopes,129.4,Wireless Water Bottle with temperature control.,632,2
43,"Steady Colorific Colored Pencils, 12/Box",129.57,Compact Phone with dual camera.,858,2
44,Assorted Color Push Pins,61.51,Eco-friendly T-shirt with organic cotton.,588,1
45,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",119.55,Lightweight Desk Lamp for workspace.,960,1
46,Artisan Poly Binder Pockets,119.43,Premium Backpack with multiple compartments.,563,2
47,Artisan Premier Heavy-Duty Binder with Round Locking Rings,321.03,Stylish Headphones for everyday music.,758,1
48,"Artisan Flip-Chart Easel Binder, Black",485.3,Portable Laptop for work and travel.,800,1
49,Office Shears by Apex,10.71,Smart Keyboard with Bluetooth support.,848,2
50,Beekin 105-Key Black Keyboard,122.16,Ergonomic Water Bottle with easy-clean lid.,501,1
51,Smiths Premium Bright 1-Pary Blumk Carr Poncils,362.47,Durable Mouse for gaming.,960,2
52,Smiths Premium Bright 1-Part Blank Computer Paper,362.47,Wireless Shoes with breathable fabric.,886,2
53,Artisan Hanging File Binders,53.22,Compact Headphones for daily commute.,799,1
54,Smiths Premium Bright 1-Part Envelopes,362.47,Eco-friendly Phone with minimal packaging.,761,1
55,"Creator Anti Dust Chalk, 12/Pack",53.22,Lightweight T-shirt with relaxed fit.,658,1
56,Artisan Legal 4-Ring Binder,893.74,Premium Desk Lamp for reading.,737,1
57,Artisan 477 Labels,159.93,Stylish Backpack with waterproof design.,697,2
58,"OIC Colored Binder Clips, Assorted Sizes",129.51,Portable Headphones with long battery life.,903,1
59,Beekin 6 Outlet Metallic Surge Strip,169.77,Smart Water Bottle with hydration tracker.,658,1
60,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",140.78,Ergonomic Keyboard with wrist rest.,593,1
61,Smiths Bulldog Clip,14.76,Durable Laptop with fast SSD.,545,1
62,Artisan Arch Ring Binders,542.77,Wireless T-shirt with performance fabric.,894,1
63,Artisan Non-Stick Binders,46.91,Compact Shoes for urban walking.,599,1
64,Artisan 481 Labels,542.77,Eco-friendly Mouse with recycled shell.,658,1
65,Smiths Paper Clips,119.69,Lightweight Backpack with padded straps.,953,1
66,Aluminum Document Frame,399.93,Premium Phone with AMOLED screen.,798,2
67,Apex Design Stainless Steel Bent Scissors,214.03,Stylish Desk Lamp with USB port.,775,1
68,Colored Envelopes,123.03,Portable Mouse with compact body.,764,1
69,Self-Adhesive Ring Binder Labels,88.39,Smart Shoes with memory foam sole.,753,1
70,Smiths File Caddy,263.86,Ergonomic Headphones with over-ear cushions.,954,1
71,Artisan Reinforcements for Hole-Punch Pages,54.28,Durable T-shirt with quick-dry tech.,770,1
72,UGen Ultra Cordless Optical Suite,1370.28,Wireless Laptop for remote work.,940,1
73,Binder Posts,49.28,Compact Water Bottle with carabiner clip.,734,2
74,EcoTones Memo Sheets,70.46,Eco-friendly Keyboard with bamboo frame.,506,1
75,Smiths Colored Bar Computer Paper,538.79,Lightweight Shoes for hiking.,788,1
76,Steady Major Accent Highlighters,123.76,Premium Headphones with mic.,648,2
77,Unpadded Memo Slips,109.78,Stylish Phone with slim profile.,797,1
78,Artisan 48 Labels,112.29,Portable Backpack with anti-theft zipper.,797,1
79,TychSavi Access Keyboard,252.36,Smart T-shirt with breathable mesh.,680,1
80,PastelOcean Color Pencil Set,435.33,Ergonomic Mouse with silent clicks.,937,2
81,Alto Keyboard-In-A-Box,954.7,Durable Desk Lamp for task lighting.,873,1
82,Deluxe Rollaway Locking File with Drawer,1365.13,Wireless Headphones for running.,944,1
83,Artisan Hi-Liter Fluorescent Desk Style Markers,43.39,Compact Laptop with thin bezel.,684,1
84,Steady Liquid Accent Highlighters,129.57,Eco-friendly Water Bottle with reusable filter.,794,1
85,OIC Bulk Pack Metal Binder Clips,129.51,Lightweight Mouse for precision control.,519,1
86,"Laser Neon Mac Format Diskettes, 10/Pack",59.21,Premium Shoes with arch support.,641,1
87,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,129.51,Stylish T-shirt with graphic design.,880,1
88,Xit Blank Computer Paper,239.54,Portable Phone with durable body.,532,2
89,Economy Rollaway Files,1599.55,Smart Backpack with charging port.,880,1
90,Apex Box Cutter Scissors,384.81,Ergonomic Desk Lamp with adjustable neck.,825,1
91,UGen Ultra Eron Style Paps,3353.64,Durable Keyboard for writers.,720,1
92,Creator Colored Pencils,79.75,Wireless Shoes for walking comfort.,598,1
93,Economy Binders,64.58,Compact Headphones for workouts.,826,2
94,Smiths Colored Interoffice Envelopes,1400.91,Eco-friendly T-shirt with zero waste packaging.,554,2
95,Steady Pocket Accent Highlighters,76.45,Lightweight Water Bottle for sports.,613,1
96,Steady 52201 APSCO Electric Pencil Sharpener,1833.74,Premium Mouse with precision scroll.,955,1
97,Ecolon Metal Binder Clips,33.24,Stylish Laptop with fingerprint unlock.,585,1
98,Cando PC940 Copier,120.4,Portable Shoes with cushion sole.,866,1
99,Wirebound Voice Message Log Book,120.4,Smart Desk Lamp with smart home control.,743,2
100,Artisan 419 Labels,22.22,Ergonomic Backpack with back support.,851,1
101,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",353.36,Durable Headphones with metal frame.,872,2
102,Steady Liquid Accent Tank-Style Highlighters,22.29,Wireless Phone with fast performance.,569,1
103,Binding Machine Supplies,349.23,Compact Keyboard for compact setups.,746,1
104,Feluor Cordless Navigator Duo,483.83,Eco-friendly Laptop with low power consumption.,862,1
105,Laser DVD-RAM discs,483.83,Lightweight T-shirt with cooling fabric.,691,1
106,Alto 3-Hole Punch,218.18,Premium Water Bottle with fruit infuser.,680,1
107,Emerson C82 Color Inkjet Printer,2463.25,Stylish Mouse with modern design.,664,2
108,Smiths Gold Paper Clips,9.72,Portable Headphones for calls and music.,917,1
109,Lesan Ultra Professional Cordless Optical Suite,89.35,Smart Shoes for fitness tracking.,828,2
110,HFX 6S Scientific Calcul Plament Drawer Pagem-Pafer Pockets,601.39,Ergonomic Phone with one-hand grip.,991,1
111,Brown Kraft Recycled Envelopes,84.96,Durable Backpack with hidden pocket.,793,2
112,Self-Adhesive Removable Labels,72.32,Wireless Desk Lamp with touch control.,582,2
113,"24 Capacity Maxi Data Binder Racks, Pearl",889.5,Compact Shoes with snug fit.,871,2
114,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2884.89,Eco-friendly Headphones with recycled plastic.,520,1
115,"""Addiss Metal Binder Clips",56.2,Lightweight Keyboard with quiet keys.,540,2
116,TechSavi Cordless Keyboard,1126.28,Premium T-shirt for casual wear.,931,1
117,Fluorescent Highlighters by DrawIt,128.03,Stylish Water Bottle for daily hydration.,665,1
118,Lumi Crayons,297.99,Portable Laptop with lightweight body.,859,1
119,Artisan Round Ring Poly Binders,74.68,Smart Mouse for gamers.,806,1
120,Artisan Heavy-Duty EZD  Binder With Locking Rings,221.03,Ergonomic Shoes with breathable mesh.,740,2
121,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",56.25,Durable T-shirt for outdoor wear.,772,1
122,Artisan Durable Poly Binders,127.73,Wireless Backpack with USB slot.,994,1
123,TechSavi Internet Navigator Keyboard,877.97,Compact Phone with edge-to-edge display.,961,2
124,Artisan Peinders,383.53,Eco-friendly Desk Lamp for green living.,594,1
125,Alto Perma 2700 Stacking Storage Drawers,50,Lightweight Headphones with fast charging.,698,2
126,DrawIt Colored Pencils,600.39,Premium Keyboard with mechanical keys.,692,1
127,Alto Perma 3000 Stacking Storage Drawers,588.32,Stylish Shoes for streetwear.,886,1
128,Barrel Sharpener,78.89,Portable Water Bottle with straw lid.,510,1
129,Artisan 478 Labels,26.33,Smart T-shirt with activity tracker.,654,1
130,Smiths Bulk Pack Metal Binder Clips,234.33,Ergonomic Laptop for all-day work.,697,1
131,Artisan 488 Labels,124.52,Durable Mouse for tough use.,876,1
132,Adesso Programmable 142-Key Keyboard,2745.64,Wireless Shoes with sleek style.,830,2
133,Pestelop Short Pencils,80.46,Compact T-shirt with trendy print.,857,1
134,TechSavi Cordless Access Keyboard,2567.77,Eco-friendly Backpack with low impact materials.,529,1
135,Security-Tint Envelopes,538.59,Lightweight Phone with long standby.,857,2
136,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",148.57,Premium Desk Lamp with wireless charger.,983,1
137,"210 Trimline Phone, White",585.59,Stylish Headphones for immersive sound.,662,1
138,"28 Copacity Maxi Data Binder Racks, Pearl",438.59,Portable Keyboard with foldable frame.,684,1
139,"GrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",70.31,Smart Water Bottle with LED display.,828,1
140,Artisan Binders,144.72,Ergonomic T-shirt for athletes.,990,2
141,Desktop 3-Pocket Hot File,945.1,Durable Laptop with rugged build.,618,1
142,Artisan Color Fluorescent Set,143.43,Wireless Mouse with instant response.,953,1
143,Artisan Durable Binders,69.6,Compact Shoes for light trails.,776,1
144,Lesan Binder Labels,263.98,Eco-friendly T-shirt made with hemp fabric.,760,1
145,600 Series Non-Flip,1494.96,Lightweight Backpack with breathable mesh.,900,1
146,300 Series Non-Flip,7196.1,Premium Headphones with noise filter.,917,1
147,12 Colored Short,96,Stylish Phone with glass back.,854,1
148,12 Ellic Surge Strip,96,Portable Desk Lamp with battery.,601,2
149,12 Colored Short Pencils with Erasers,96,Smart Shoes with step counter.,987,1
150,13 Colored Short Pencils,47.52,Ergonomic Water Bottle for runners.,679,1
151,Pizazz Colored Pencils,63.7,Durable Keyboard with spill resistance.,973,1
152,HFX 6S Scientific Calculator,3995.56,Wireless Headphones with HD audio.,907,1
153,"Alto Six-Outlet Power Strip, 4 Cord Length",449.55,Compact Laptop for students.,779,1
154,Apex Breferred Stainless Steel Scissors,199.44,Eco-friendly Mouse made with bioplastics.,667,1
155,"Steady Colorific Eraseable Coloring Pencils, 12 Count",66.29,Lightweight T-shirt with stretch.,932,1
156,Smiths Standardding Envelopes,116.45,Premium Backpack with shock absorption.,665,1
157,UGen RF Keyboard,7605.03,Stylish Shoes with custom insole.,565,1
158,Artisan Husing File Binders,98.68,Portable Phone with quick charge.,900,1
159,Apex Office Executive Series Stainless Steel Trimmers,147.68,Smart Desk Lamp for focus.,719,2
160,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighter, Yellow Ink",21.22,Ergonomic Headphones for long use.,929,1
161,Apex Forged Steel Scissors with Black Enamel Handles,292.63,Durable T-shirt for travel.,711,1
162,Artisan 484 Labels,79.41,Wireless Laptop with touchscreen.,948,1
163,"Wirebound Message Book, 4 per Page",79.31,Compact Water Bottle for biking.,969,1
164,DFeek ODtal Color Pencil Set,1835.84,Eco-friendly Keyboard for minimalists.,895,1
165,Desktop 3-Rocket Hot File,2246.75,Lightweight Shoes with foam sole.,624,1
166,Emerson LQ-870 Dot Matrix Printer,608.97,Premium Mouse for precision gaming.,866,2
167,Smiths Bolldog Clip,152.59,Stylish T-shirt with contrast trim.,959,1
168,Artisan Hanging File Bins,123.43,Portable Headphones with foldable design.,939,2
169,Artisan 473 Labels,21.83,Smart Backpack with app sync.,641,1
170,Liquid Accent Tank-Style Highlighters,180.22,Ergonomic Phone with curved edges.,953,1
171,Artisan File Folder Labels,35.73,Durable Desk Lamp for late-night work.,604,1
172,Blackstonian Pencils,50.07,Wireless Shoes with all-weather grip.,769,1
173,"Message Book, One Form per Page",137.84,Compact Headphones with in-line controls.,975,1
174,"220 Trimline Phone, White",539.69,Eco-friendly T-shirt dyed naturally.,887,1
175,"Creator Colored Pencils, 12/Box",79.44,Lightweight Keyboard for speed typing.,670,1
176,Airmail Envelopes,3796.84,Premium Laptop with top-tier specs.,990,1
177,Amtisan Printable Repositionable Plastic Tabs,263.31,Stylish Water Bottle with color options.,922,1
178,Actisan Binder Labels,75.68,Portable Mouse with nano receiver.,924,2
179,Apex Straightt Scissors,520.09,Smart Shoes with AI support.,925,1
180,Bagred Suard Easer Clips,53.97,Ergonomic Backpack for tech gear.,861,1
181,Smiths Elerid Suite,300.93,Durable Phone with shockproof case.,992,1
182,3Max Polarizing Light Filter Sleeves,305.9,Wireless Headphones with low latency.,988,1
183,"200 Trimline Phone, White",1366.44,Compact Desk Lamp for dorms.,805,1
184,Colored Nuun Stick,288.64,Eco-friendly Mouse with no plastic.,519,1
185,PostelOcean Color Pencil Set,339.95,Lightweight T-shirt with UV protection.,987,2
186,Steady Colorific Eriasable Repositionable Plastic Tabs,129.71,Premium Shoes for formal use.,782,1
187,Artisan Lamy Binders,536.02,Stylish Laptop with metal chassis.,913,1
188,3wax Printer,52.01,Portable Water Bottle with filter pod.,809,1
189,Artisan Binding System Hidden Tab Executive Style Index Sets,221.81,Smart T-shirt with NFC tag.,664,1
190,Creator Wet Poly Binders,63.7,Ergonomic Keyboard with backlight.,645,1
191,PastelOceen Roud & Seel Expanding Envelopes,86.69,Durable Headphones for studio use.,991,2
192,Col-Erase Pencils with Erasers,173.1,Wireless Phone with dual SIM.,549,3
193,Artisan Reinforcements fot Hole-Punch Pages,76.25,Compact Backpack with slim fit.,504,1
194,Drown Colored Pencils,143.86,Eco-friendly Desk Lamp made of bamboo.,990,1
195,EcoTomes Memo Sheets,76.54,Lightweight Mouse for portable setups.,677,1
196,HFX LaserJet 331 Colored Pencils,22902.11,Premium T-shirt with ribbed collar.,850,2
197,Artisan 4877 Labels,15.76,Stylish Shoes for daily errands.,691,1
198,Colored Push Pins,79.75,Portable Laptop with slim profile.,962,2
199,Color-Envelopes,79.75,Smart Headphones with gesture control.,641,1
200,Smiths Meta Binder Labels,96.78,Ergonomic Water Bottle with grip handle.,970,1
201,Bolored Envelopes,147.69,Durable Keyboard for coding.,698,1
202,Setffiddawer,47.28,Wireless Shoes for active lifestyle.,794,2
203,Artisan Hubbe Reidy-Dton Flip,141.54,Compact Phone with minimal design.,633,1
204,"Artias Flip-Chart Easel Binder, Black",889.26,Eco-friendly Headphones with fabric cover.,859,1
205,370 Colored Short Pencils,824.78,Lightweight T-shirt with vent zones.,837,1
206,Apex Desige Stainless Steel Scissors,239.71,Premium Backpack with smart lock.,806,2
207,Apex Pright Scissors,230.34,Stylish Desk Lamp with LED ring.,545,1
208,DrawIt Pizazz Watercolor Pencil Set,31.87,Portable Mouse with wireless receiver.,917,2
209,Artisan Hing File Binders,42.73,Smart Shoes with auto fit.,843,1
210,"Artisan Hi-Liter GlideStik Fluorescent Task Lamp with Clamp Arm, Light Gray",41.83,Ergonomic T-shirt for fitness lovers.,775,2
211,Artisan Hole Reinforcements for Hole-Punch Pages,197.21,Durable Laptop for rugged use.,883,2
212,Col-Eucess Memo Sheets,228.52,Wireless Keyboard with rechargeable battery.,628,1
213,Apiman Suite,228.52,Compact Shoes with stretch laces.,776,1
214,Copacres Pencils,248.55,Eco-friendly Water Bottle with compostable body.,740,1
215,186 Digital Answering Machine,64.59,Lightweight Headphones with voice assistant.,725,1
216,"Artisan Hi-Liter Bluorescent Highlighter, Yellow Ink",119.04,Premium Phone with matte finish.,531,1
217,Smiths Fold Paper Clips,99.61,Stylish T-shirt with neon text.,896,1
218,Artisan Arcent Highlighters,65.47,Portable Backpack with inner organizer.,919,1
219,"""Adams """"While You Were Out"""" Message Pads""",126.71,Smart Mouse with AI shortcuts.,732,1
220,"Less Liter Smea-Use Personal File Cart and Caster Set, Three Stacking Bins",57.02,Ergonomic Shoes for workplace.,996,1
221,"TypeRight Side-Opening Peel & Seel  Envelopes, Gray",5752.22,Durable Desk Lamp with touch dimmer.,770,1
222,Apex Forged Steel,274.9,Wireless Headphones with dual pairing.,823,1
223,600 Series Flip,2454.82,Compact Keyboard with detachable cable.,615,1
224,Peel Ultra Professional Cordless Optical Suite,5180.54,Eco-friendly Laptop with solar power.,719,1
225,Artisan 47 Labels,88.38,Lightweight Water Bottle with one-hand cap.,836,1
226,Astor Doster Colors,10.85,Premium Headphones for immersive gaming.,877,3
227,"Smiths File Cadd Caster Set, Three Stacking Bins",238.9,Stylish Shoes with slip-on design.,560,1
228,"27 Capacity Maxi Data Binder Racks, Pearl",305.96,Portable T-shirt with stash pocket.,840,1
229,Alliance Rubber Bands,10.6,Smart Laptop with smart dock.,715,1
230,Tmeady Box Cutter Scissors,306.13,Ergonomic Backpack with chest strap.,700,3
231,UGen Ultra Profes,11913.55,Lightweight T-shirt with UV protection.,742,3
232,Lest Envelopes,435.07,Premium Shoes for formal use.,922,3
233,Apex Box Cutter Scissor,183.5,Stylish Laptop with metal chassis.,854,3
234,Slimame Pencils,33.85,Portable Water Bottle with filter pod.,505,3
235,Amemy 3-Color Set,124.05,Smart T-shirt with NFC tag.,707,3
236,Bagred Nubber Bands,128.55,Ergonomic Keyboard with backlight.,645,3
237,Artisan 471 Labels,35.33,Durable Headphones for studio use.,680,3
238,"Smiths Premium Bright 1-Road , Risk Park",265.36,Wireless Phone with dual SIM.,522,3
239,OCColor Flip,21.45,Compact Backpack with slim fit.,711,3
240,29 Capacity Maxi Data Pinder Labels,810.08,Eco-friendly Desk Lamp made of bamboo.,675,3
241,"Artisan Heavy-Duty EZD  Binder With Locking Rings, Label Holders",258.82,Lightweight Mouse for portable setups.,735,3
242,MalayichSavi Cordless Navigator Duo,33.47,Premium T-shirt with ribbed collar.,808,3
243,Apex Preferred Stainless Steal Scissors,223.29,Stylish Shoes for daily errands.,618,3
244,DrawIt Pizazz Watercolor Pencils,108.82,Portable Laptop with slim profile.,560,3
245,1Max Organizer Strips,62.79,Smart Headphones with gesture control.,902,3
246,Pizazz Printer,71.95,Ergonomic Water Bottle with grip handle.,860,3
247,Black Clarston,31.35,Durable Keyboard for coding.,510,3
248,Artisan Hi-Liter Heavy-Duty EZD  Binder With Locking Rings,60.44,Wireless Shoes for active lifestyle.,919,3
249,"1-, Tonkins Steel Grame",90.69,Compact Phone with minimal design.,850,3
250,1 Stacking Storage Drawers,26.62,Eco-friendly Headphones with fabric cover.,786,3
251,10 Colored Short Pencils,36.24,Smart Headphones with gesture control.,753,3
252,Steady Colorific Eraseable Poly Binders,128.55,Ergonomic Water Bottle with grip handle.,672,3
253,Steady Colorific Eraseable Coloringders,126.87,Durable Keyboard for coding.,800,3
254,Sciths General Use 3-Ring Binders,66.54,Wireless Shoes for active lifestyle.,913,3
255,Adesso Programmable 142-Key Keybbard,3726.63,Compact Phone with minimal design.,609,3
256,Pestelopen Markers,334.06,Eco-friendly Headphones with fabric cover.,602,3
257,Artisan Henging File Binders,126.48,Ergonomic Water Bottle with grip handle.,516,3
